 �bitos infantis - Brasil
�bitos p/Resid�nc por Munic�pio
Per�odo:2022
"Munic�pio";"�bitos_p/Resid�nc"
"230860 MONSENHOR TABOSA";2
"230870 MORADA NOVA";6
"230880 MORAUJO";2
"230890 MORRINHOS";3
"230900 MUCAMBO";1
"230910 MULUNGU";1
"230920 NOVA OLINDA";2
"230930 NOVA RUSSAS";2
"230940 NOVO ORIENTE";3
"230945 OCARA";9
"230950 OROS";2
"230960 PACAJUS";6
"230970 PACATUBA";15
"230980 PACOTI";1
"231000 PALHANO";2
"231010 PALMACIA";1
"231020 PARACURU";9
"231025 PARAIPABA";4
"231030 PARAMBU";6
"231040 PARAMOTI";1
"231050 PEDRA BRANCA";7
"231060 PENAFORTE";1
"231070 PENTECOSTE";6
"231080 PEREIRO";4
"231085 PINDORETAMA";1
"231090 PIQUET CARNEIRO";4
"231095 PIRES FERREIRA";1
"231100 PORANGA";2
"231110 PORTEIRAS";3
"231120 POTENGI";1
"231123 POTIRETAMA";2
"231126 QUITERIANOPOLIS";3
"231130 QUIXADA";15
"231135 QUIXELO";3
"231140 QUIXERAMOBIM";19
"231150 QUIXERE";2
"231160 REDENCAO";6
"231170 RERIUTABA";3
"231180 RUSSAS";9
"231195 SALITRE";5
"231200 SANTANA DO ACARAU";5
"231210 SANTANA DO CARIRI";2
"231220 SANTA QUITERIA";4
"231230 SAO BENEDITO";9
"231240 SAO GONCALO DO AMARANTE";6
"231250 SAO JOAO DO JAGUARIBE";2
"231260 SAO LUIS DO CURU";3
"231270 SENADOR POMPEU";2
"231290 SOBRAL";39
"231300 SOLONOPOLE";2
"231310 TABULEIRO DO NORTE";8
"231320 TAMBORIL";7
"231325 TARRAFAS";1
"231330 TAUA";10
"231335 TEJUCUOCA";1
"231340 TIANGUA";17
"231350 TRAIRI";10
"231355 TURURU";6
"231360 UBAJARA";4
"231375 UMIRIM";3
"231380 URUBURETAMA";4
"231390 URUOCA";1
"231395 VARJOTA";1
"231400 VARZEA ALEGRE";5
"231410 VICOSA DO CEARA";8
"240020 ASSU";6
"240030 AFONSO BEZERRA";2
"240050 ALEXANDRIA";1
"240060 ALMINO AFONSO";1
"240070 ALTO DO RODRIGUES";3
"240080 ANGICOS";1
"240100 APODI";8
"240110 AREIA BRANCA";2
"240120 AREZ";3
"240130 CAMPO GRANDE";1
"240140 BAIA FORMOSA";2
"240145 BARAUNA";4
"240165 BODO";1
"240170 BOM JESUS";3
"240180 BREJINHO";2
"240185 CAICARA DO NORTE";1
"240200 CAICO";8
"240210 CAMPO REDONDO";4
"240220 CANGUARETAMA";5
"240230 CARAUBAS";2
"240250 CARNAUBAIS";1
"240260 CEARA-MIRIM";8
"240280 CORONEL EZEQUIEL";1
"240290 CORONEL JOAO PESSOA";4
"240300 CRUZETA";1
"240310 CURRAIS NOVOS";4
"240320 DOUTOR SEVERIANO";1
"240325 PARNAMIRIM";32
"240350 ESPIRITO SANTO";1
"240360 EXTREMOZ";8
"240380 FLORANIA";1
"240390 FRANCISCO DANTAS";2
"240410 GALINHOS";1
"240420 GOIANINHA";5
"240430 GOVERNADOR DIX-SEPT ROSADO";1
"240440 GROSSOS";2
"240450 GUAMARE";2
"240460 IELMO MARINHO";1
"240470 IPANGUACU";3
"240485 ITAJA";1
"240510 JANDAIRA";1
"240520 JANDUIS";1
"240530 JANUARIO CICCO";2
"240550 JARDIM DE ANGICOS";1
"240560 JARDIM DE PIRANHAS";2
"240570 JARDIM DO SERIDO";2
"240580 JOAO CAMARA";3
"240610 JUCURUTU";5
"240640 LAGOA DE VELHOS";1
"240650 LAGOA NOVA";4
"240660 LAGOA SALGADA";3
"240690 LUCRECIA";2
"240700 LUIS GOMES";1
"240710 MACAIBA";10
"240720 MACAU";4
"240730 MARCELINO VIEIRA";1
"240740 MARTINS";1
"240750 MAXARANGUAPE";1
"240770 MONTANHAS";2
"240780 MONTE ALEGRE";2
"240790 MONTE DAS GAMELEIRAS";2
"240800 MOSSORO";31
"240810 NATAL";103
"240820 NISIA FLORESTA";4
"240830 NOVA CRUZ";3
"240850 OURO BRANCO";1
"240880 PARAZINHO";1
"240890 PARELHAS";1
"240895 RIO DO FOGO";1
"240930 PATU";2
"240933 SANTA MARIA";1
"240940 PAU DOS FERROS";6
"240950 PEDRA GRANDE";1
"240990 PENDENCIAS";3
"241000 PILOES";1
"241010 POCO BRANCO";2
"241020 PORTALEGRE";1
"241025 PORTO DO MANGUE";1
"241030 SERRA CAIADA";1
"241040 PUREZA";4
"241105 TIBAU";1
"241120 SANTA CRUZ";5
"241150 SANTO ANTONIO";6
"241160 SAO BENTO DO NORTE";1
"241170 SAO BENTO DO TRAIRI";1
"241200 SAO GONCALO DO AMARANTE";14
"241220 SAO JOSE DE MIPIBU";6
"241230 SAO JOSE DO CAMPESTRE";2
"241240 SAO JOSE DO SERIDO";1
"241250 SAO MIGUEL";4
"241255 SAO MIGUEL DO GOSTOSO";2
"241260 SAO PAULO DO POTENGI";4
"241270 SAO PEDRO";1
"241280 SAO RAFAEL";3
"241290 SAO TOME";1
"241300 SAO VICENTE";1
"241310 SENADOR ELOI DE SOUZA";1
"241320 SENADOR GEORGINO AVELINO";1
"241330 SERRA DE SAO BENTO";1
"241335 SERRA DO MEL";6
"241360 SEVERIANO MELO";2
"241370 SITIO NOVO";1
"241390 TAIPU";1
"241400 TANGARA";3
"241410 TENENTE ANANIAS";1
"241415 TENENTE LAURENTINO CRUZ";1
"241420 TIBAU DO SUL";4
"241440 TOUROS";6
"241450 UMARIZAL";2
"241470 VARZEA";1
"250010 AGUA BRANCA";2
"250020 AGUIAR";1
"250030 ALAGOA GRANDE";8
"250040 ALAGOA NOVA";4
"250050 ALAGOINHA";3
"250053 ALCANTIL";1
"250060 ALHANDRA";8
"250070 SAO JOAO DO RIO DO PEIXE";1
"250073 AMPARO";1
"250077 APARECIDA";3
"250080 ARACAGI";4
"250090 ARARA";2
"250100 ARARUNA";2
"250110 AREIA";7
"250130 AROEIRAS";2
"250135 ASSUNCAO";2
"250140 BAIA DA TRAICAO";1
"250150 BANANEIRAS";1
"250157 BARRA DE SANTANA";3
"250160 BARRA DE SANTA ROSA";6
"250170 BARRA DE SAO MIGUEL";2
"250180 BAYEUX";15
"250190 BELEM";3
"250200 BELEM DO BREJO DO CRUZ";2
"250210 BOA VENTURA";1
"250215 BOA VISTA";2
"250230 BOM SUCESSO";1
"250240 BONITO DE SANTA FE";3
"250250 BOQUEIRAO";6
"250260 IGARACY";1
"250270 BORBOREMA";1
"250300 CAAPORA";6
"250310 CABACEIRAS";1
"250320 CABEDELO";11
"250330 CACHOEIRA DOS INDIOS";2
"250340 CACIMBA DE AREIA";1
"250350 CACIMBA DE DENTRO";5
"250355 CACIMBAS";2
"250360 CAICARA";3
"250370 CAJAZEIRAS";18
"250375 CAJAZEIRINHAS";2
"250380 CALDAS BRANDAO";1
"250390 CAMALAU";1
"250400 CAMPINA GRANDE";75
"250403 CAPIM";1
"250415 CASSERENGUE";1
"250430 CATOLE DO ROCHA";4
"250440 CONCEICAO";3
"250460 CONDE";3
"250470 CONGO";2
"250480 COREMAS";1
"250490 CRUZ DO ESPIRITO SANTO";4
"250500 CUBATI";3
"250510 CUITE";1
"250520 CUITEGI";3
"250527 CURRAL DE CIMA";1
"250530 CURRAL VELHO";1
"250560 DIAMANTE";2
"250570 DONA INES";2
"250580 DUAS ESTRADAS";2
"250600 ESPERANCA";8
"250610 FAGUNDES";2
"250625 GADO BRAVO";1
"250630 GUARABIRA";11
"250640 GURINHEM";6
"250660 IBIARA";1
"250670 IMACULADA";2
"250680 INGA";8
"250710 ITAPOROROCA";2
"250720 ITATUBA";1
"250730 JACARAU";3
"250740 JERICO";1
"250750 JOAO PESSOA";162
"250760 JUAREZ TAVORA";2
"250770 JUAZEIRINHO";7
"250780 JUNCO DO SERIDO";1
"250790 JURIPIRANGA";2
"250800 JURU";2
"250820 LAGOA DE DENTRO";5
"250830 LAGOA SECA";3
"250860 LUCENA";3
"250880 MALTA";1
"250890 MAMANGUAPE";10
"250900 MANAIRA";4
"250905 MARCACAO";2
"250910 MARI";3
"250920 MASSARANDUBA";3
"250930 MATARACA";1
"250937 MATO GROSSO";1
"250940 MOGEIRO";3
"250960 MONTE HOREBE";1
"250970 MONTEIRO";6
"250980 MULUNGU";1
"250990 NATUBA";1
"251000 NAZAREZINHO";1
"251010 NOVA FLORESTA";5
"251020 NOVA OLINDA";2
"251050 OLIVEDOS";1
"251080 PATOS";13
"251090 PAULISTA";2
"251100 PEDRA BRANCA";1
"251110 PEDRA LAVRADA";2
"251120 PEDRAS DE FOGO";6
"251140 PICUI";2
"251150 PILAR";4
"251160 PILOES";1
"251180 PIRPIRITUBA";1
"251190 PITIMBU";7
"251200 POCINHOS";3
"251203 POCO DANTAS";2
"251207 POCO DE JOSE DE MOURA";2
"251210 POMBAL";6
"251230 PRINCESA ISABEL";2
"251240 PUXINANA";2
"251250 QUEIMADAS";7
"251270 REMIGIO";2
"251272 PEDRO REGIS";2
"251276 RIACHAO DO POCO";1
"251280 RIACHO DOS CAVALOS";2
"251290 RIO TINTO";5
"251300 SALGADINHO";2
"251310 SALGADO DE SAO FELIX";2
"251315 SANTA CECILIA";1
"251330 SANTA HELENA";3
"251340 SANTA LUZIA";2
"251365 JOCA CLAUDINO";1
"251370 SANTA RITA";26
"251390 SAO BENTO";7
"251398 SAO FRANCISCO";1
"251420 SAO JOSE DA LAGOA TAPADA";3
"251430 SAO JOSE DE CAIANA";2
"251440 SAO JOSE DE ESPINHARAS";1
"251445 SAO JOSE DOS RAMOS";2
"251450 SAO JOSE DE PIRANHAS";6
"251455 SAO JOSE DE PRINCESA";1
"251470 SAO JOSE DO SABUGI";1
"251490 SAO MAMEDE";1
"251500 SAO MIGUEL DE TAIPU";4
"251520 SAO SEBASTIAO DO UMBUZEIRO";1
"251530 SAPE";14
"251540 SAO VICENTE DO SERIDO";1
"251550 SERRA BRANCA";3
"251580 SERRA REDONDA";1
"251590 SERRARIA";1
"251593 SERTAOZINHO";2
"251597 SOBRADO";1
"251600 SOLANEA";6
"251610 SOLEDADE";1
"251620 SOUSA";20
"251630 SUME";3
"251640 TACIMA";2
"251650 TAPEROA";5
"251660 TAVARES";3
"251670 TEIXEIRA";1
"251675 TENORIO";1
"251700 UMBUZEIRO";1
"251740 ZABELE";1
"260005 ABREU E LIMA";12
"260010 AFOGADOS DA INGAZEIRA";7
"260020 AFRANIO";3
"260030 AGRESTINA";2
"260040 AGUA PRETA";6
"260050 AGUAS BELAS";10
"260060 ALAGOINHA";2
"260070 ALIANCA";6
"260080 ALTINHO";4
"260090 AMARAJI";3
"260100 ANGELIM";1
"260105 ARACOIABA";12
"260110 ARARIPINA";17
"260120 ARCOVERDE";11
"260130 BARRA DE GUABIRABA";1
"260140 BARREIROS";13
"260160 BELEM DO SAO FRANCISCO";8
"260170 BELO JARDIM";16
"260180 BETANIA";3
"260190 BEZERROS";6
"260200 BODOCO";8
"260210 BOM CONSELHO";13
"260220 BOM JARDIM";4
"260230 BONITO";10
"260240 BREJAO";3
"260250 BREJINHO";1
"260260 BREJO DA MADRE DE DEUS";9
"260270 BUENOS AIRES";2
"260280 BUIQUE";11
"260290 CABO DE SANTO AGOSTINHO";32
"260300 CABROBO";6
"260310 CACHOEIRINHA";4
"260320 CAETES";3
"260330 CALCADO";2
"260345 CAMARAGIBE";25
"260350 CAMOCIM DE SAO FELIX";2
"260360 CAMUTANGA";1
"260370 CANHOTINHO";4
"260380 CAPOEIRAS";6
"260390 CARNAIBA";2
"260392 CARNAUBEIRA DA PENHA";6
"260400 CARPINA";12
"260410 CARUARU";69
"260420 CATENDE";8
"260430 CEDRO";5
"260440 CHA DE ALEGRIA";4
"260450 CHA GRANDE";2
"260460 CONDADO";3
"260480 CORTES";2
"260500 CUPIRA";2
"260510 CUSTODIA";4
"260515 DORMENTES";2
"260520 ESCADA";7
"260530 EXU";10
"260540 FEIRA NOVA";4
"260550 FERREIROS";1
"260560 FLORES";9
"260570 FLORESTA";9
"260580 FREI MIGUELINHO";4
"260590 GAMELEIRA";3
"260600 GARANHUNS";23
"260610 GLORIA DO GOITA";8
"260620 GOIANA";15
"260630 GRANITO";3
"260640 GRAVATA";10
"260650 IATI";3
"260660 IBIMIRIM";2
"260680 IGARASSU";23
"260690 IGUARACY";2
"260700 INAJA";7
"260720 IPOJUCA";16
"260730 IPUBI";11
"260750 ITAIBA";1
"260760 ILHA DE ITAMARACA";2
"260765 ITAMBE";3
"260770 ITAPETIM";4
"260775 ITAPISSUMA";1
"260780 ITAQUITINGA";4
"260790 JABOATAO DOS GUARARAPES";108
"260795 JAQUEIRA";1
"260800 JATAUBA";7
"260805 JATOBA";2
"260810 JOAO ALFREDO";3
"260820 JOAQUIM NABUCO";2
"260825 JUCATI";2
"260830 JUPI";3
"260840 JUREMA";3
"260845 LAGOA DO CARRO";7
"260850 LAGOA DE ITAENGA";4
"260870 LAGOA DOS GATOS";5
"260875 LAGOA GRANDE";11
"260880 LAJEDO";11
"260890 LIMOEIRO";4
"260900 MACAPARANA";3
"260910 MACHADOS";1
"260915 MANARI";4
"260920 MARAIAL";1
"260930 MIRANDIBA";7
"260940 MORENO";6
"260950 NAZARE DA MATA";3
"260960 OLINDA";54
"260970 OROBO";3
"260980 OROCO";7
"260990 OURICURI";20
"261000 PALMARES";12
"261010 PALMEIRINA";2
"261020 PANELAS";8
"261030 PARANATAMA";1
"261040 PARNAMIRIM";3
"261050 PASSIRA";2
"261060 PAUDALHO";11
"261070 PAULISTA";47
"261080 PEDRA";8
"261090 PESQUEIRA";8
"261100 PETROLANDIA";6
"261110 PETROLINA";91
"261120 POCAO";1
"261130 POMBOS";3
"261140 PRIMAVERA";1
"261150 QUIPAPA";5
"261153 QUIXABA";1
"261160 RECIFE";189
"261170 RIACHO DAS ALMAS";4
"261180 RIBEIRAO";3
"261190 RIO FORMOSO";6
"261200 SAIRE";1
"261220 SALGUEIRO";10
"261230 SALOA";2
"261240 SANHARO";4
"261245 SANTA CRUZ";3
"261247 SANTA CRUZ DA BAIXA VERDE";1
"261250 SANTA CRUZ DO CAPIBARIBE";22
"261255 SANTA FILOMENA";2
"261260 SANTA MARIA DA BOA VISTA";9
"261270 SANTA MARIA DO CAMBUCA";5
"261280 SANTA TEREZINHA";1
"261290 SAO BENEDITO DO SUL";1
"261300 SAO BENTO DO UNA";9
"261310 SAO CAITANO";8
"261320 SAO JOAO";7
"261330 SAO JOAQUIM DO MONTE";6
"261340 SAO JOSE DA COROA GRANDE";4
"261350 SAO JOSE DO BELMONTE";5
"261360 SAO JOSE DO EGITO";6
"261370 SAO LOURENCO DA MATA";19
"261380 SAO VICENTE FERRER";2
"261390 SERRA TALHADA";20
"261400 SERRITA";5
"261410 SERTANIA";11
"261420 SIRINHAEM";7
"261430 MOREILANDIA";1
"261440 SOLIDAO";2
"261450 SURUBIM";8
"261460 TABIRA";5
"261470 TACAIMBO";4
"261480 TACARATU";6
"261485 TAMANDARE";4
"261500 TAQUARITINGA DO NORTE";2
"261520 TERRA NOVA";1
"261530 TIMBAUBA";5
"261540 TORITAMA";8
"261550 TRACUNHAEM";3
"261560 TRINDADE";16
"261570 TRIUNFO";1
"261580 TUPANATINGA";4
"261590 TUPARETAMA";1
"261600 VENTUROSA";2
"261610 VERDEJANTE";3
"261618 VERTENTE DO LERIO";2
"261620 VERTENTES";2
"261630 VICENCIA";2
"261640 VITORIA DE SANTO ANTAO";15
"261650 XEXEU";2
"270010 AGUA BRANCA";6
"270020 ANADIA";2
"270030 ARAPIRACA";39
"270040 ATALAIA";10
"270050 BARRA DE SANTO ANTONIO";5
"270060 BARRA DE SAO MIGUEL";1
"270070 BATALHA";3
"270080 BELEM";1
"270090 BELO MONTE";1
"270100 BOCA DA MATA";2
"270110 BRANQUINHA";3
"270120 CACIMBINHAS";2
"270130 CAJUEIRO";2
"270135 CAMPESTRE";1
"270140 CAMPO ALEGRE";5
"270150 CAMPO GRANDE";2
"270160 CANAPI";6
"270170 CAPELA";2
"270180 CARNEIROS";2
"270200 COITE DO NOIA";1
"270210 COLONIA LEOPOLDINA";2
"270220 COQUEIRO SECO";1
"270230 CORURIPE";4
"270235 CRAIBAS";7
"270240 DELMIRO GOUVEIA";8
"270250 DOIS RIACHOS";5
"270255 ESTRELA DE ALAGOAS";6
"270260 FEIRA GRANDE";3
"270270 FELIZ DESERTO";2
"270280 FLEXEIRAS";3
"270290 GIRAU DO PONCIANO";4
"270300 IBATEGUARA";6
"270310 IGACI";7
"270320 IGREJA NOVA";2
"270330 INHAPI";10
"270340 JACARE DOS HOMENS";1
"270360 JAPARATINGA";2
"270370 JARAMATAIA";2
"270375 JEQUIA DA PRAIA";1
"270380 JOAQUIM GOMES";3
"270390 JUNDIA";2
"270400 JUNQUEIRO";6
"270410 LAGOA DA CANOA";2
"270420 LIMOEIRO DE ANADIA";6
"270430 MACEIO";166
"270440 MAJOR ISIDORO";5
"270450 MARAGOGI";7
"270460 MARAVILHA";2
"270470 MARECHAL DEODORO";13
"270480 MARIBONDO";1
"270500 MATA GRANDE";3
"270510 MATRIZ DE CAMARAGIBE";7
"270540 MONTEIROPOLIS";2
"270550 MURICI";9
"270570 OLHO D'AGUA DAS FLORES";4
"270580 OLHO D'AGUA DO CASADO";1
"270600 OLIVENCA";2
"270610 OURO BRANCO";4
"270630 PALMEIRA DOS INDIOS";15
"270640 PAO DE ACUCAR";6
"270642 PARICONHA";5
"270644 PARIPUEIRA";5
"270650 PASSO DE CAMARAGIBE";6
"270660 PAULO JACINTO";1
"270670 PENEDO";11
"270680 PIACABUCU";3
"270690 PILAR";4
"270710 PIRANHAS";6
"270720 POCO DAS TRINCHEIRAS";4
"270730 PORTO CALVO";1
"270740 PORTO DE PEDRAS";2
"270750 PORTO REAL DO COLEGIO";4
"270760 QUEBRANGULO";2
"270770 RIO LARGO";14
"270780 ROTEIRO";1
"270790 SANTA LUZIA DO NORTE";2
"270800 SANTANA DO IPANEMA";8
"270810 SANTANA DO MUNDAU";1
"270820 SAO BRAS";1
"270830 SAO JOSE DA LAJE";6
"270840 SAO JOSE DA TAPERA";5
"270850 SAO LUIS DO QUITUNDE";4
"270860 SAO MIGUEL DOS CAMPOS";6
"270870 SAO MIGUEL DOS MILAGRES";3
"270880 SAO SEBASTIAO";2
"270890 SATUBA";7
"270895 SENADOR RUI PALMEIRA";1
"270900 TANQUE D'ARCA";1
"270910 TAQUARANA";3
"270915 TEOTONIO VILELA";7
"270920 TRAIPU";6
"270930 UNIAO DOS PALMARES";15
"270940 VICOSA";2
" MUNICIPIO IGNORADO - SE";1
"280020 AQUIDABA";3
"280030 ARACAJU";122
"280040 ARAUA";1
"280050 AREIA BRANCA";7
"280060 BARRA DOS COQUEIROS";11
"280067 BOQUIM";2
"280070 BREJO GRANDE";3
"280100 CAMPO DO BRITO";3
"280120 CANINDE DE SAO FRANCISCO";9
"280130 CAPELA";13
"280140 CARIRA";6
"280150 CARMOPOLIS";2
"280160 CEDRO DE SAO JOAO";1
"280170 CRISTINAPOLIS";2
"280190 CUMBE";1
"280200 DIVINA PASTORA";2
"280210 ESTANCIA";18
"280220 FEIRA NOVA";1
"280230 FREI PAULO";7
"280240 GARARU";3
"280250 GENERAL MAYNARD";1
"280270 ILHA DAS FLORES";4
"280290 ITABAIANA";28
"280300 ITABAIANINHA";8
"280310 ITABI";2
"280320 ITAPORANGA D'AJUDA";5
"280340 JAPOATA";8
"280350 LAGARTO";22
"280360 LARANJEIRAS";5
"280370 MACAMBIRA";5
"280390 MALHADOR";4
"280400 MARUIM";1
"280410 MOITA BONITA";7
"280420 MONTE ALEGRE DE SERGIPE";3
"280430 MURIBECA";6
"280440 NEOPOLIS";1
"280445 NOSSA SENHORA APARECIDA";1
"280450 NOSSA SENHORA DA GLORIA";8
"280460 NOSSA SENHORA DAS DORES";7
"280470 NOSSA SENHORA DE LOURDES";1
"280480 NOSSA SENHORA DO SOCORRO";56
"280490 PACATUBA";2
"280510 PEDRINHAS";3
"280520 PINHAO";1
"280530 PIRAMBU";6
"280540 POCO REDONDO";9
"280550 POCO VERDE";4
"280560 PORTO DA FOLHA";2
"280570 PROPRIA";7
"280580 RIACHAO DO DANTAS";1
"280590 RIACHUELO";3
"280600 RIBEIROPOLIS";4
"280610 ROSARIO DO CATETE";2
"280620 SALGADO";4
"280630 SANTA LUZIA DO ITANHY";4
"280640 SANTANA DO SAO FRANCISCO";1
"280650 SANTA ROSA DE LIMA";1
"280660 SANTO AMARO DAS BROTAS";1
"280670 SAO CRISTOVAO";18
"280680 SAO DOMINGOS";3
"280700 SAO MIGUEL DO ALEIXO";2
"280710 SIMAO DIAS";8
"280720 SIRIRI";3
"280740 TOBIAS BARRETO";6
"280750 TOMAR DO GERU";2
"280760 UMBAUBA";5
" MUNICIPIO IGNORADO - BA";7
"290010 ABAIRA";1
"290020 ABARE";2
"290030 ACAJUTIBA";2
"290035 ADUSTINA";3
"290040 AGUA FRIA";2
"290050 ERICO CARDOSO";2
"290070 ALAGOINHAS";24
"290080 ALCOBACA";5
"290090 ALMADINA";1
"290100 AMARGOSA";7
"290110 AMELIA RODRIGUES";1
"290120 ANAGE";3
"290130 ANDARAI";1
"290135 ANDORINHA";2
"290140 ANGICAL";7
"290160 ANTAS";1
"290170 ANTONIO CARDOSO";2
"290180 ANTONIO GONCALVES";2
"290190 APORA";2
"290195 APUAREMA";2
"290200 ARACATU";3
"290205 ARACAS";4
"290210 ARACI";10
"290220 ARAMARI";1
"290225 ARATACA";1
"290230 ARATUIPE";1
"290240 AURELINO LEAL";10
"290250 BAIANOPOLIS";2
"290260 BAIXA GRANDE";2
"290265 BANZAE";1
"290270 BARRA";19
"290280 BARRA DA ESTIVA";2
"290290 BARRA DO CHOCA";9
"290300 BARRA DO MENDES";1
"290320 BARREIRAS";31
"290323 BARRO ALTO";1
"290327 BARROCAS";6
"290330 BARRO PRETO";2
"290340 BELMONTE";3
"290350 BELO CAMPO";3
"290360 BIRITINGA";4
"290370 BOA NOVA";1
"290380 BOA VISTA DO TUPIM";1
"290390 BOM JESUS DA LAPA";13
"290400 BONINAL";6
"290405 BONITO";3
"290410 BOQUIRA";3
"290420 BOTUPORA";1
"290430 BREJOES";4
"290440 BREJOLANDIA";2
"290450 BROTAS DE MACAUBAS";1
"290460 BRUMADO";7
"290470 BUERAREMA";3
"290475 BURITIRAMA";4
"290485 CABACEIRAS DO PARAGUACU";3
"290490 CACHOEIRA";3
"290500 CACULE";4
"290510 CAEM";1
"290515 CAETANOS";1
"290520 CAETITE";11
"290530 CAFARNAUM";2
"290540 CAIRU";4
"290550 CALDEIRAO GRANDE";4
"290560 CAMACAN";6
"290570 CAMACARI";56
"290580 CAMAMU";12
"290590 CAMPO ALEGRE DE LOURDES";8
"290600 CAMPO FORMOSO";17
"290610 CANAPOLIS";2
"290620 CANARANA";8
"290630 CANAVIEIRAS";3
"290640 CANDEAL";2
"290650 CANDEIAS";16
"290670 CANDIDO SALES";3
"290680 CANSANCAO";5
"290682 CANUDOS";6
"290685 CAPELA DO ALTO ALEGRE";1
"290687 CAPIM GROSSO";3
"290689 CARAIBAS";1
"290690 CARAVELAS";2
"290700 CARDEAL DA SILVA";2
"290710 CARINHANHA";10
"290720 CASA NOVA";17
"290730 CASTRO ALVES";7
"290750 CATU";7
"290755 CATURAMA";1
"290760 CENTRAL";3
"290770 CHORROCHO";2
"290780 CICERO DANTAS";7
"290790 CIPO";8
"290800 COARACI";1
"290810 COCOS";5
"290820 CONCEICAO DA FEIRA";4
"290830 CONCEICAO DO ALMEIDA";6
"290840 CONCEICAO DO COITE";8
"290850 CONCEICAO DO JACUIPE";5
"290860 CONDE";3
"290890 CORACAO DE MARIA";4
"290910 CORIBE";1
"290920 CORONEL JOAO SA";2
"290930 CORRENTINA";5
"290940 COTEGIPE";2
"290950 CRAVOLANDIA";3
"290960 CRISOPOLIS";4
"290970 CRISTOPOLIS";1
"290980 CRUZ DAS ALMAS";12
"290990 CURACA";7
"291005 DIAS D'AVILA";18
"291040 ENCRUZILHADA";5
"291050 ENTRE RIOS";8
"291060 ESPLANADA";5
"291070 EUCLIDES DA CUNHA";13
"291072 EUNAPOLIS";30
"291075 FATIMA";4
"291080 FEIRA DE SANTANA";123
"291085 FILADELFIA";5
"291090 FIRMINO ALVES";1
"291100 FLORESTA AZUL";1
"291110 FORMOSA DO RIO PRETO";6
"291120 GANDU";8
"291140 GLORIA";3
"291160 GOVERNADOR MANGABEIRA";5
"291170 GUANAMBI";11
"291180 GUARATINGA";1
"291185 HELIOPOLIS";2
"291190 IACU";5
"291200 IBIASSUCE";1
"291210 IBICARAI";3
"291220 IBICOARA";5
"291230 IBICUI";3
"291240 IBIPEBA";3
"291250 IBIPITANGA";2
"291260 IBIQUERA";1
"291270 IBIRAPITANGA";5
"291280 IBIRAPUA";1
"291290 IBIRATAIA";4
"291300 IBITIARA";3
"291310 IBITITA";1
"291320 IBOTIRAMA";6
"291330 ICHU";1
"291345 IGRAPIUNA";2
"291350 IGUAI";2
"291360 ILHEUS";24
"291370 INHAMBUPE";7
"291390 IPIAU";9
"291400 IPIRA";10
"291410 IPUPIARA";2
"291420 IRAJUBA";1
"291430 IRAMAIA";1
"291440 IRAQUARA";2
"291450 IRARA";4
"291460 IRECE";17
"291465 ITABELA";5
"291470 ITABERABA";8
"291480 ITABUNA";54
"291490 ITACARE";9
"291500 ITAETE";2
"291520 ITAGIBA";2
"291530 ITAGIMIRIM";1
"291535 ITAGUACU DA BAHIA";3
"291550 ITAJUIPE";4
"291560 ITAMARAJU";15
"291570 ITAMARI";1
"291580 ITAMBE";1
"291590 ITANAGRA";1
"291600 ITANHEM";5
"291610 ITAPARICA";4
"291620 ITAPE";2
"291630 ITAPEBI";1
"291640 ITAPETINGA";17
"291650 ITAPICURU";8
"291660 ITAPITANGA";2
"291670 ITAQUARA";2
"291680 ITARANTIM";2
"291685 ITATIM";1
"291690 ITIRUCU";1
"291700 ITIUBA";11
"291710 ITORORO";3
"291720 ITUACU";4
"291730 ITUBERA";3
"291733 IUIU";2
"291735 JABORANDI";3
"291740 JACARACI";1
"291750 JACOBINA";13
"291760 JAGUAQUARA";6
"291770 JAGUARARI";4
"291780 JAGUARIPE";4
"291790 JANDAIRA";1
"291800 JEQUIE";29
"291810 JEREMOABO";4
"291830 JITAUNA";4
"291835 JOAO DOURADO";7
"291840 JUAZEIRO";54
"291850 JUSSARA";5
"291875 LAGOA REAL";1
"291880 LAJE";2
"291915 LAPAO";2
"291920 LAURO DE FREITAS";42
"291930 LENCOIS";6
"291940 LICINIO DE ALMEIDA";2
"291950 LIVRAMENTO DE NOSSA SENHORA";2
"291955 LUIS EDUARDO MAGALHAES";17
"291960 MACAJUBA";2
"291980 MACAUBAS";9
"291990 MACURURE";1
"291992 MADRE DE DEUS";2
"291995 MAETINGA";1
"292000 MAIQUINIQUE";4
"292020 MALHADA";2
"292030 MALHADA DE PEDRAS";1
"292040 MANOEL VITORINO";1
"292045 MANSIDAO";3
"292050 MARACAS";4
"292060 MARAGOGIPE";5
"292070 MARAU";4
"292080 MARCIONILIO SOUZA";2
"292090 MASCOTE";4
"292100 MATA DE SAO JOAO";7
"292105 MATINA";3
"292110 MEDEIROS NETO";3
"292120 MIGUEL CALMON";8
"292130 MILAGRES";3
"292140 MIRANGABA";5
"292145 MIRANTE";2
"292150 MONTE SANTO";13
"292160 MORPARA";1
"292170 MORRO DO CHAPEU";5
"292180 MORTUGABA";1
"292190 MUCUGE";4
"292200 MUCURI";4
"292205 MULUNGU DO MORRO";1
"292210 MUNDO NOVO";1
"292220 MUNIZ FERREIRA";2
"292225 MUQUEM DE SAO FRANCISCO";3
